User ID App,Genre,Age
CH000004belarwPzrtSS,F,36
CH000116tbDEPRcgGfhY,F,52
CH000117YsaKTpRfAiVj,F,50
CH000115cjWXAvQHXeQR,M,36
CH000118YzCbwZlYjCpb,M,58
CH000127kqWQKRXDkXjV,M,40
CH000126nSdGhZzRwmxU,M,74
CH000128HJuPwWaoLIyg,F,38
CH000169MyVXywdXhXYL,F,62
CH000132XgsyuPZRGNyz,M,66
CH000147CxxYRCGBEuOW,M,72
CH000148KeMCZrtiBRuA,M,22
CH000130HBRtTrSGklpR,M,21
CH000150VHWMcBMvxUCI,F,57
CH000151ioRXjqnHfRPR,M,27
CH000152vSrcTLTXNsVP,M,72
CH000153vWUWpeIXAdtb,F,51
CH000154YTIxQLTuNSbF,M,57
CH000155zQDOybaaUMYY,F,76
CH000157BSSstybrGJDT,F,51
CH000156EOEqJguekYvG,F,53
CH000201qCZarIxoqwnX,M,67
CH000159hAaxUEoDBgny,F,41
CH000205vCzPeHHnoCnW,F,34
CH000161cPkRZPXvZSpL,F,46
CH000166xVJeoVpdjAzw,F,48
CH000204eqPlThgpwcuZ,F,33
CH000163XwFtdqXTGXSU,M,72
CH000168WVfdvhxXYSzL,M,31
CH000167SLMaigvyMSMe,M,38
CH000191JZSHgJXjwSAr,M,39
CH000192AJhaVRcbjBgv,F,46
CH000194etQTsImlsDKq,M,25
CH000195pwncrqcpiHaa,F,35
CH000196pbLBaiuXFbcr,F,33
CH000197BXZNeWepwJRe,F,34
CH000206tpuVPGHPmHQY,M,37
CH000199CcHaMCmrQRtd,M,25
CH000207YkGtbMxVZXur,M,26
CH000213jDWgjYCPcTkH,M,31
CH000211twMtqPjJmhwE,M,26
